,commune,ofs,population,superficie,densite,canton,pecc,details
316,Valeyres-sous-Rances,5763,583,6.37,92.0,Vaud,,
317,Valeyres-sous-Ursins,5934,237,2.88,82.0,Vaud,,
318,Vallorbe,5764,4097,23.19,177.0,Vaud,,
319,Vaulion,5765,486,13.17,37.0,Vaud,,
320,Vaux-sur-Morges,5650,182,2.1,87.0,Vaud,,
321,Vevey,5890,20139,2.38,8462.0,Vaud,,
322,Veytaux,5891,1003,6.76,148.0,Vaud,,
323,Vich,5732,1177,1.56,754.0,Vaud,,
324,Villars-Épeney,5935,100,0.86,116.0,Vaud,,
325,Villars-le-Comte,5690,135,4.19,32.0,Vaud,,
326,Villars-le-Terroir,5537,1297,7.09,183.0,Vaud,,
327,Villars-Sainte-Croix,5651,977,1.65,592.0,Vaud,,
328,Villars-sous-Yens,5652,609,3.04,200.0,Vaud,,
329,Villarzel,5830,525,7.66,69.0,Vaud,,
330,Villeneuve,5414,6052,32.04,189.0,Vaud,,
331,Vinzel,5863,380,1.09,349.0,Vaud,,
332,Vuarrens,5539,1102,8.96,123.0,Vaud,,
333,Vucherens,5692,635,3.27,194.0,Vaud,,
334,Vufflens-la-Ville,5503,1335,5.38,248.0,Vaud,,
335,Vufflens-le-Château,5653,882,2.14,412.0,Vaud,,
336,Vugelles-La Mothe,5937,151,3.07,49.0,Vaud,,
337,Vuitebœuf,5766,585,5.06,116.0,Vaud,,
338,Vulliens,5803,646,6.63,97.0,Vaud,,
339,Vullierens,5654,571,6.84,83.0,Vaud,,
340,Vully-les-Lacs,5464,3609,22.13,163.0,Vaud,,
341,Yens,5655,1498,9.51,158.0,Vaud,,
342,Yverdon-les-Bains,5938,30202,11.28,2677.0,Vaud,,
343,Yvonand,5939,3536,13.39,264.0,Vaud,,
344,Yvorne,5415,1105,12.2,91.0,Vaud,,
345,Boudry,6404,6320,16.77,377.0,Neuchatel,,
346,Brot-Plamboz,6433,294,16.03,18.0,Neuchatel,,
347,Cornaux,6451,1647,4.72,349.0,Neuchatel,,
348,Cortaillod,6408,4798,3.69,1300.0,Neuchatel,,
349,Cressier,6452,1924,8.55,225.0,Neuchatel,,
350,La Brévine,6432,615,41.82,15.0,Neuchatel,,
351,La Chaux-de-Fonds,6421,37233,55.66,669.0,Neuchatel,,
352,La Chaux-du-Milieu,6435,496,17.28,29.0,Neuchatel,,
353,La Côte-aux-Fées,6504,483,12.85,38.0,Neuchatel,,
354,La Grande Béroche,6417,9082,42.21,215.0,Neuchatel,,
355,La Sagne,6423,1068,25.55,42.0,Neuchatel,,
356,Laténa,6513,11698,26.02,450.0,Neuchatel,,
357,Le Cerneux-Péquignot,6434,311,15.67,20.0,Neuchatel,,
358,Le Landeron,6455,4647,10.31,451.0,Neuchatel,,
359,Le Locle,6436,10875,34.66,314.0,Neuchatel,,
360,Les Planchettes,6422,198,11.73,17.0,Neuchatel,,
361,Les Ponts-de-Martel,6437,1229,18.23,67.0,Neuchatel,,
362,Les Verrières,6511,649,28.68,23.0,Neuchatel,,
363,Lignières,6456,1041,12.51,83.0,Neuchatel,,
364,Milvignes,6416,9312,8.78,1061.0,Neuchatel,,
365,Neuchâtel,6458,44898,30.08,1493.0,Neuchatel,,
366,Rochefort,6413,1325,25.84,51.0,Neuchatel,,
367,Val-de-Ruz,6487,17499,124.26,141.0,Neuchatel,,
368,Val-de-Travers,6512,10649,124.91,85.0,Neuchatel,,
369,Attalens,2321,3678,9.76,377.0,Fribourg,,
370,Autigny,2173,804,6.22,129.0,Fribourg,,
371,Avry,2174,1926,5.83,330.0,Fribourg,,
372,Bas-Intyamon,2162,1701,33.31,51.0,Fribourg,,
373,Belfaux,2175,3470,8.88,391.0,Fribourg,,
374,Belmont-Broye,2053,6011,25.81,233.0,Fribourg,,
375,Billens-Hennens,2063,908,4.87,186.0,Fribourg,,
376,Bois-d'Amont,2238,2381,12.28,194.0,Fribourg,,
377,Bösingen,2295,3341,14.34,233.0,Fribourg,,
378,Bossonnens,2323,1609,4.1,392.0,Fribourg,,
379,Botterens,2123,741,4.15,179.0,Fribourg,,
380,Broc,2124,2810,10.04,280.0,Fribourg,,
381,Brünisried,2292,700,3.25,215.0,Fribourg,,
382,Bulle,2125,26749,23.87,1121.0,Fribourg,,
383,Châtel-Saint-Denis,2325,8512,47.89,178.0,Fribourg,,
384,Châtel-sur-Montsalvens,2128,359,2.04,176.0,Fribourg,,
385,Châtillon,2008,527,1.31,402.0,Fribourg,,
386,Châtonnaye,2068,865,6.31,137.0,Fribourg,,
387,Chénens,2177,847,3.95,214.0,Fribourg,,
388,Chevrilles,2294,1684,5.21,323.0,Fribourg,,
389,Cheyres-Châbles,2055,2468,9.87,250.0,Fribourg,,
390,Chiètres,2265,5448,12.23,445.0,Fribourg,,
391,Corbières,2129,1042,9.6,109.0,Fribourg,,
392,Corminboeuf,2183,2928,7.24,404.0,Fribourg,,
393,Cormondes,2262,4695,17.29,272.0,Fribourg,,
394,Cottens,2186,1508,4.97,303.0,Fribourg,,
395,Courgevaux,2250,1462,3.36,435.0,Fribourg,,
396,Courtepin,2254,5765,21.85,264.0,Fribourg,,
397,Cressier,2257,1094,4.17,262.0,Fribourg,,
398,Crésuz,2130,474,1.78,266.0,Fribourg,,
399,Cugy,2011,1989,9.86,202.0,Fribourg,,
400,Delley-Portalban,2051,1339,7.26,184.0,Fribourg,,
401,Dirlaret,2301,1152,7.29,158.0,Fribourg,,
402,Echarlens,2131,841,4.63,182.0,Fribourg,,
403,Estavayer,2054,10296,40.36,255.0,Fribourg,,
404,Ferpicloz,2194,251,1.01,249.0,Fribourg,,
405,Fétigny,2016,1189,4.08,291.0,Fribourg,,
406,Fräschels,2258,440,3.14,140.0,Fribourg,,
407,Fribourg,2196,38660,9.3,4157.0,Fribourg,,
408,Gibloux,2236,8134,36.06,226.0,Fribourg,,
409,Givisiez,2197,3309,3.46,956.0,Fribourg,,
410,Gletterens,2022,1135,2.92,389.0,Fribourg,,
411,Grandvillard,2134,858,24.16,36.0,Fribourg,,
412,Granges,2328,970,4.46,217.0,Fribourg,,
413,Granges-Paccot,2198,3936,4.0,984.0,Fribourg,,
414,Grangettes,2079,212,3.31,64.0,Fribourg,,
415,Greng,2261,167,0.97,172.0,Fribourg,,
416,Grolley-Ponthaux,2239,2926,11.25,260.0,Fribourg,,
417,Gruyères,2135,2301,28.38,81.0,Fribourg,,
418,Guin,2293,8939,30.78,290.0,Fribourg,,
419,Haut-Intyamon,2121,1691,60.45,28.0,Fribourg,,
420,Hauterive,2233,2687,11.94,225.0,Fribourg,,
421,Hauteville,2137,730,10.52,69.0,Fribourg,,
422,Heitenried,2296,1403,9.12,154.0,Fribourg,,
423,Jaun,2138,647,55.21,12.0,Fribourg,,
424,Kleinbösingen,2266,705,3.01,234.0,Fribourg,,
425,La Brillaz,2234,2201,10.29,214.0,Fribourg,,
426,La Roche,2149,1859,24.09,77.0,Fribourg,,
427,La Sonnaz,2235,1406,6.9,204.0,Fribourg,,
428,La Verrerie,2338,1346,13.38,101.0,Fribourg,,
429,Le Châtelard,2067,352,7.51,47.0,Fribourg,,
430,Le Flon,2337,1203,9.58,126.0,Fribourg,,
431,Le Mouret,2220,3323,18.54,179.0,Fribourg,,
432,Le Pâquier,2145,1390,4.49,310.0,Fribourg,,
433,Les Montets,2050,1614,10.31,157.0,Fribourg,,
434,Lully,2025,1214,5.5,221.0,Fribourg,,
435,Marly,2206,9069,7.7,1178.0,Fribourg,,
436,Marsens,2140,2115,7.81,271.0,Fribourg,,
437,Massonnens,2086,606,4.25,143.0,Fribourg,,
438,Matran,2208,1774,2.86,620.0,Fribourg,,
439,Ménières,2027,442,4.38,101.0,Fribourg,,
440,Meyriez,2271,564,0.34,1659.0,Fribourg,,
441,Mézières,2087,1147,8.93,128.0,Fribourg,,
442,Misery-Courtion,2272,2364,11.41,207.0,Fribourg,,
443,Mont-Vully,2284,4452,17.53,254.0,Fribourg,,
444,Montagny,2029,3017,17.52,172.0,Fribourg,,
445,Montilier,2274,964,1.13,853.0,Fribourg,,
446,Morat,2275,9531,36.41,262.0,Fribourg,,
447,Morlon,2143,713,2.48,288.0,Fribourg,,
448,Neyruz,2211,2875,5.54,519.0,Fribourg,,
449,Nuvilly,2035,493,4.0,123.0,Fribourg,,
450,Pierrafortscha,2216,150,5.06,30.0,Fribourg,,
451,Planfayon,2299,3668,66.52,55.0,Fribourg,,
452,Plasselb,2300,1059,18.12,58.0,Fribourg,,
453,Pont-en-Ogoz,2122,2013,10.02,201.0,Fribourg,,
454,Pont-la-Ville,2147,613,4.32,142.0,Fribourg,,
455,Ponthaux,2217,806,5.91,136.0,Fribourg,,
456,Prévondavaux,2038,97,1.8,54.0,Fribourg,,
457,Prez,2237,2472,16.02,154.0,Fribourg,,
458,Remaufens,2333,1285,5.91,217.0,Fribourg,,
459,Riaz,2148,2890,7.76,372.0,Fribourg,,
460,Ried bei Kerzers,2276,1223,7.59,161.0,Fribourg,,
461,Romont,2096,5891,10.89,541.0,Fribourg,,
462,Rue,2097,2632,20.03,131.0,Fribourg,,
463,Saint-Aubin,2041,1970,7.88,250.0,Fribourg,,
464,Saint-Martin,2335,1011,9.79,103.0,Fribourg,,
465,Saint-Ours,2304,1441,15.76,91.0,Fribourg,,
466,Saint-Sylvestre,2303,1014,7.07,143.0,Fribourg,,
467,Sâles,2152,1452,18.79,77.0,Fribourg,,
468,Schmitten,2305,4300,13.5,319.0,Fribourg,,
469,Semsales,2336,1575,29.36,54.0,Fribourg,,
470,Sévaz,2043,314,2.5,126.0,Fribourg,,
471,Siviriez,2099,2566,20.28,127.0,Fribourg,,
472,Sorens,2153,1096,8.72,126.0,Fribourg,,
473,Surpierre,2044,1230,11.24,109.0,Fribourg,,
474,Tavel,2306,7900,41.35,191.0,Fribourg,,
475,Tinterin,2307,1358,3.61,376.0,Fribourg,,
476,Torny,2115,1082,10.18,106.0,Fribourg,,
477,Treyvaux,2226,1596,11.44,140.0,Fribourg,,
478,Ueberstorf,2308,2400,16.12,149.0,Fribourg,,
479,Ulmiz,2278,425,2.83,150.0,Fribourg,,
480,Ursy,2102,4025,17.13,235.0,Fribourg,,
481,Val-de-Charmey,2163,2672,112.15,24.0,Fribourg,,
482,Vallon,2045,520,3.51,148.0,Fribourg,,
483,Vaulruz,2155,1128,10.16,111.0,Fribourg,,
484,Villars-sur-Glâne,2228,12444,5.49,2267.0,Fribourg,,
485,Villarsel-sur-Marly,2230,74,1.41,52.0,Fribourg,,
486,Villaz,2117,2347,15.45,152.0,Fribourg,,
487,Villorsonnens,2114,1526,15.47,99.0,Fribourg,,
488,Vuadens,2160,2556,10.44,245.0,Fribourg,,
489,Vuisternens-devant-Romont,2113,2352,24.06,98.0,Fribourg,,
490,Wünnewil-Flamatt,2309,5722,13.23,433.0,Fribourg,,
491,Agarn,6101,729,7.66,95.0,Valais,,
492,Anniviers,6252,2773,242.95,11.0,Valais,,
493,Arbaz,6261,1462,19.29,76.0,Valais,,
494,Arbignon,6102,262,15.48,17.0,Valais,,
495,Ardon,6021,3709,20.35,182.0,Valais,,
496,Ausserberg,6191,637,14.9,43.0,Valais,,
497,Ayent,6082,4350,55.13,79.0,Valais,,
498,Baltschieder,6281,1367,31.44,43.0,Valais,,
499,Bellwald,6052,349,13.69,25.0,Valais,,
500,Bettmeralp,6205,474,29.36,16.0,Valais,,
501,Binn,6054,123,65.03,2.0,Valais,,
502,Bister,6172,39,5.84,7.0,Valais,,
503,Bitsch,6173,1116,4.02,278.0,Valais,,
504,Blatten,6192,303,90.65,3.0,Valais,,
505,Bourg-Saint-Pierre,6032,215,90.09,2.0,Valais,,
506,Bovernier,6131,924,12.86,72.0,Valais,,
507,Brigue-Glis,6002,13976,38.08,367.0,Valais,,
508,Bürchen,6193,766,13.45,57.0,Valais,,
509,Chalais,6232,3905,24.46,160.0,Valais,,
510,Chamoson,6022,4291,32.47,132.0,Valais,,
511,Champéry,6151,1399,38.88,36.0,Valais,,
512,Chippis,6235,1599,1.98,808.0,Valais,,
513,Collombey-Muraz,6152,9903,29.81,332.0,Valais,,
514,Collonges,6211,865,12.21,71.0,Valais,,
515,Conthey,6023,9073,84.98,107.0,Valais,,
516,Crans-Montana,6253,10488,59.66,176.0,Valais,,
517,Dorénaz,6212,1103,12.57,88.0,Valais,,
518,Eggerberg,6004,329,5.94,55.0,Valais,,
519,Eischoll,6194,453,13.77,33.0,Valais,,
520,Eisten,6282,191,38.05,5.0,Valais,,
521,Embd,6283,294,13.39,22.0,Valais,,
522,Ergisch,6104,184,30.13,6.0,Valais,,
523,Ernen,6056,550,35.38,16.0,Valais,,
524,Evionnaz,6213,1482,47.99,31.0,Valais,,
525,Evolène,6083,1670,209.94,8.0,Valais,,
526,Ferden,6195,253,27.92,9.0,Valais,,
527,Fiesch,6057,912,11.26,81.0,Valais,,
528,Fieschertal,6058,359,172.96,2.0,Valais,,
529,Finhaut,6214,400,22.86,17.0,Valais,,
530,Fully,6133,9160,37.79,242.0,Valais,,
531,Gampel-Bratsch,6118,2167,23.09,94.0,Valais,,
532,Goms,6077,1157,128.94,9.0,Valais,,
533,Grächen,6285,1295,14.32,90.0,Valais,,
534,Grengiols,6177,424,58.46,7.0,Valais,,
535,Grimisuat,6263,3906,4.44,880.0,Valais,,
536,Grône,6238,2557,21.14,121.0,Valais,,
537,Guttet-Feschel,6117,440,10.51,42.0,Valais,,
538,Hérémence,6084,1491,107.53,14.0,Valais,,
539,Icogne,6239,634,24.81,26.0,Valais,,
540,Inden,6109,118,9.86,12.0,Valais,,
541,Isérables,6134,809,15.23,53.0,Valais,,
542,Kippel,6197,331,11.66,28.0,Valais,,
543,Lalden,6286,733,1.28,573.0,Valais,,
544,Lax,6061,336,5.02,67.0,Valais,,
545,Lens,6240,4536,13.91,326.0,Valais,,
546,Leytron,6135,3357,26.85,125.0,Valais,,
547,Liddes,6033,755,60.16,13.0,Valais,,
548,Loèche,6110,4307,55.36,78.0,Valais,,
549,Loèche-les-Bains,6111,1396,67.23,21.0,Valais,,
550,Martigny,6136,21759,24.97,871.0,Valais,,
551,Martigny-Combe,6137,2332,37.63,62.0,Valais,,
552,Massongex,6215,2044,6.63,308.0,Valais,,
553,Mont-Noble,6090,1174,43.03,27.0,Valais,,
554,Monthey,6153,18886,28.63,660.0,Valais,,
555,Mörel-Filet,6203,745,8.44,88.0,Valais,,
556,Naters,6007,10605,147.04,72.0,Valais,,
557,Nendaz,6024,7196,86.01,84.0,Valais,,
558,Niedergesteln,6198,750,17.43,43.0,Valais,,
559,Noble-Contrée,6254,4677,6.51,718.0,Valais,,
560,Oberems,6112,139,50.27,3.0,Valais,,
561,Obergoms,6076,640,155.83,4.0,Valais,,
562,Orsières,6034,3292,165.02,20.0,Valais,,
563,Port-Valais,6154,4485,14.35,313.0,Valais,,
564,Randa,6287,461,54.51,8.0,Valais,,
565,Rarogne,6199,2002,30.31,66.0,Valais,,
566,Riddes,6139,3701,23.88,155.0,Valais,,
567,Ried-Brig,6008,2254,47.5,47.0,Valais,,
568,Riederalp,6181,437,21.04,21.0,Valais,,
569,Saas-Almagell,6288,379,110.22,3.0,Valais,,
570,Saas-Balen,6289,362,30.18,12.0,Valais,,
571,Saas-Fee,6290,1592,40.6,39.0,Valais,,
572,Saas-Grund,6291,1067,24.55,43.0,Valais,,
573,Saillon,6140,3094,13.74,225.0,Valais,,
574,Saint-Gingolph,6155,1049,14.38,73.0,Valais,,
575,Saint-Léonard,6246,2613,3.9,670.0,Valais,,
576,Saint-Martin,6087,841,37.02,23.0,Valais,,
577,Saint-Maurice,6217,4574,14.94,306.0,Valais,,
578,Saint-Nicolas,6292,2268,89.23,25.0,Valais,,
579,Salquenen,6113,1693,11.34,149.0,Valais,,
580,Salvan,6218,1483,53.54,28.0,Valais,,
581,Savièse,6265,8182,70.92,115.0,Valais,,
582,Saxon,6141,7114,23.23,306.0,Valais,,
583,Sembrancher,6035,1093,17.63,62.0,Valais,,
584,Sierre,6248,17663,19.18,921.0,Valais,,
585,Simplon,6009,281,90.82,3.0,Valais,,
586,Sion,6266,36624,34.85,1051.0,Valais,,
587,Stalden,6293,1112,10.43,107.0,Valais,,
588,Staldenried,6294,541,14.32,38.0,Valais,,
589,Steg-Hohtenn,6204,1691,14.16,119.0,Valais,,
590,Täsch,6295,1366,58.72,23.0,Valais,,
591,Termen,6010,1187,18.73,63.0,Valais,,
592,Törbel,6296,494,17.59,28.0,Valais,,
593,Trient,6142,160,39.56,4.0,Valais,,
594,Troistorrents,6156,5008,36.98,135.0,Valais,,
595,Turtmann-Unterems,6119,1191,42.27,28.0,Valais,,
596,Unterbäch,6201,483,21.99,22.0,Valais,,
597,Val de Bagnes,6037,10814,301.89,36.0,Valais,,
598,Val-d'Illiez,6157,2129,39.26,54.0,Valais,,
599,Varonne,6116,691,12.81,54.0,Valais,,
600,Vernayaz,6219,1864,5.6,333.0,Valais,,
601,Vérossaz,6220,893,14.28,63.0,Valais,,
602,Vétroz,6025,6604,10.45,632.0,Valais,,
603,Vex,6089,1929,12.99,148.0,Valais,,
604,Veysonnaz,6267,621,1.1,565.0,Valais,,
605,Viège,6297,8483,13.17,644.0,Valais,,
606,Vionnaz,6158,2934,20.93,140.0,Valais,,
607,Visperterminen,6298,1324,51.62,26.0,Valais,,
608,Vouvry,6159,4621,33.5,138.0,Valais,,
609,Wiler,6202,539,14.66,37.0,Valais,,
610,Zeneggen,6299,324,7.49,43.0,Valais,,
611,Zermatt,6300,6023,242.69,25.0,Valais,,
612,Zwischbergen,6011,81,86.15,1.0,Valais,,
