commune,ofs,population,superficie,densite,canton,pecc,details
Vuitebœuf,5766,585.00,"5,06",116,Vaud,,
Vulliens,5803,646.00,"6,63",97,Vaud,,
Vullierens,5654,571.00,"6,84",83,Vaud,,
Vully-les-Lacs,5464,3 609,"22,13",163,Vaud,,
Yens,5655,1 498,"9,51",158,Vaud,,
Yverdon-les-Bains,5938,30 202,"11,28",2677,Vaud,,
Yvonand,5939,3 536,"13,39",264,Vaud,,
Yvorne,5415,1 105,"12,2",91,Vaud,,
Boudry,6404,6 320,"16,77",377,Neuchatel,,
Brot-Plamboz,6433,294.00,"16,03",18,Neuchatel,,
Cornaux,6451,1 647,"4,72",349,Neuchatel,,
Cortaillod,6408,4 798,"3,69",1300,Neuchatel,,
Cressier,6452,1 924,"8,55",225,Neuchatel,,
La Brévine,6432,615.00,"41,82",15,Neuchatel,,
La Chaux-de-Fonds,6421,37 233,"55,66",669,Neuchatel,,
La Chaux-du-Milieu,6435,496.00,"17,28",29,Neuchatel,,
La Côte-aux-Fées,6504,483.00,"12,85",38,Neuchatel,,
La Grande Béroche,6417,9 082,"42,21",215,Neuchatel,,
La Sagne,6423,1 068,"25,55",42,Neuchatel,,
Laténa,6513,11 698,"26,02",450,Neuchatel,,
Le Cerneux-Péquignot,6434,311.00,"15,67",20,Neuchatel,,
Le Landeron,6455,4 647,"10,31",451,Neuchatel,,
Le Locle,6436,10 875,"34,66",314,Neuchatel,,
Les Planchettes,6422,198.00,"11,73",17,Neuchatel,,
Les Ponts-de-Martel,6437,1 229,"18,23",67,Neuchatel,,
Les Verrières,6511,649.00,"28,68",23,Neuchatel,,
Lignières,6456,1 041,"12,51",83,Neuchatel,,
Milvignes,6416,9 312,"8,78",1061,Neuchatel,,
Neuchâtel,6458,44 898,"30,08",1493,Neuchatel,,
Rochefort,6413,1 325,"25,84",51,Neuchatel,,
Val-de-Ruz,6487,17 499,"124,26",141,Neuchatel,,
Val-de-Travers,6512,10 649,"124,91",85,Neuchatel,,
Attalens,2321,3 678,"9,76",377,Fribourg,,
Autigny,2173,804.00,"6,22",129,Fribourg,,
Avry,2174,1 926,"5,83",330,Fribourg,,
Bas-Intyamon,2162,1 701,"33,31",51,Fribourg,,
Belfaux,2175,3 470,"8,88",391,Fribourg,,
Belmont-Broye,2053,6 011,"25,81",233,Fribourg,,
Billens-Hennens,2063,908.00,"4,87",186,Fribourg,,
Bois-d'Amont,2238,2 381,"12,28",194,Fribourg,,
Bösingen,2295,3 341,"14,34",233,Fribourg,,
Bossonnens,2323,1 609,"4,1",392,Fribourg,,
Botterens,2123,741.00,"4,15",179,Fribourg,,
Broc,2124,2 810,"10,04",280,Fribourg,,
Brünisried,2292,700.00,"3,25",215,Fribourg,,
Bulle,2125,26 749,"23,87",1121,Fribourg,,
Châtel-Saint-Denis,2325,8 512,"47,89",178,Fribourg,,
Châtel-sur-Montsalvens,2128,359.00,"2,04",176,Fribourg,,
Châtillon,2008,527.00,"1,31",402,Fribourg,,
Châtonnaye,2068,865.00,"6,31",137,Fribourg,,
Chénens,2177,847.00,"3,95",214,Fribourg,,
Chevrilles,2294,1 684,"5,21",323,Fribourg,,
Cheyres-Châbles,2055,2 468,"9,87",250,Fribourg,,
Chiètres,2265,5 448,"12,23",445,Fribourg,,
Corbières,2129,1 042,"9,6",109,Fribourg,,
Corminboeuf,2183,2 928,"7,24",404,Fribourg,,
Cormondes,2262,4 695,"17,29",272,Fribourg,,
Cottens,2186,1 508,"4,97",303,Fribourg,,
Courgevaux,2250,1 462,"3,36",435,Fribourg,,
Courtepin,2254,5 765,"21,85",264,Fribourg,,
Cressier,2257,1 094,"4,17",262,Fribourg,,
Crésuz,2130,474.00,"1,78",266,Fribourg,,
Cugy,2011,1 989,"9,86",202,Fribourg,,
Delley-Portalban,2051,1 339,"7,26",184,Fribourg,,
Dirlaret,2301,1 152,"7,29",158,Fribourg,,
Echarlens,2131,841.00,"4,63",182,Fribourg,,
Estavayer,2054,10 296,"40,36",255,Fribourg,,
Ferpicloz,2194,251.00,"1,01",249,Fribourg,,
Fétigny,2016,1 189,"4,08",291,Fribourg,,
Fräschels,2258,440.00,"3,14",140,Fribourg,,
Fribourg,2196,38 660,"9,3",4157,Fribourg,,
Gibloux,2236,8 134,"36,06",226,Fribourg,,
Givisiez,2197,3 309,"3,46",956,Fribourg,,
Gletterens,2022,1 135,"2,92",389,Fribourg,,
Grandvillard,2134,858.00,"24,16",36,Fribourg,,
Granges,2328,970.00,"4,46",217,Fribourg,,
Granges-Paccot,2198,3 936,4,984,Fribourg,,
Grangettes,2079,212.00,"3,31",64,Fribourg,,
Greng,2261,167.00,"0,97",172,Fribourg,,
Grolley-Ponthaux,2239,2 926,"11,25",260,Fribourg,,
Gruyères,2135,2 301,"28,38",81,Fribourg,,
Guin,2293,8 939,"30,78",290,Fribourg,,
Haut-Intyamon,2121,1 691,"60,45",28,Fribourg,,
Hauterive,2233,2 687,"11,94",225,Fribourg,,
Hauteville,2137,730.00,"10,52",69,Fribourg,,
Heitenried,2296,1 403,"9,12",154,Fribourg,,
Jaun,2138,647.00,"55,21",12,Fribourg,,
Kleinbösingen,2266,705.00,"3,01",234,Fribourg,,
La Brillaz,2234,2 201,"10,29",214,Fribourg,,
La Roche,2149,1 859,"24,09",77,Fribourg,,
La Sonnaz,2235,1 406,"6,9",204,Fribourg,,
La Verrerie,2338,1 346,"13,38",101,Fribourg,,
Le Châtelard,2067,352.00,"7,51",47,Fribourg,,
Le Flon,2337,1 203,"9,58",126,Fribourg,,
Le Mouret,2220,3 323,"18,54",179,Fribourg,,
Le Pâquier,2145,1 390,"4,49",310,Fribourg,,
Les Montets,2050,1 614,"10,31",157,Fribourg,,
Lully,2025,1 214,"5,5",221,Fribourg,,
Marly,2206,9 069,"7,7",1178,Fribourg,,
Marsens,2140,2 115,"7,81",271,Fribourg,,
Massonnens,2086,606.00,"4,25",143,Fribourg,,
Matran,2208,1 774,"2,86",620,Fribourg,,
Ménières,2027,442.00,"4,38",101,Fribourg,,
Meyriez,2271,564.00,"0,34",1659,Fribourg,,
Mézières,2087,1 147,"8,93",128,Fribourg,,
Misery-Courtion,2272,2 364,"11,41",207,Fribourg,,
Mont-Vully,2284,4 452,"17,53",254,Fribourg,,
Montagny,2029,3 017,"17,52",172,Fribourg,,
Montilier,2274,964.00,"1,13",853,Fribourg,,
Morat,2275,9 531,"36,41",262,Fribourg,,
Morlon,2143,713.00,"2,48",288,Fribourg,,
Neyruz,2211,2 875,"5,54",519,Fribourg,,
Nuvilly,2035,493.00,4,123,Fribourg,,
Pierrafortscha,2216,150.00,"5,06",30,Fribourg,,
Planfayon,2299,3 668,"66,52",55,Fribourg,,
Plasselb,2300,1 059,"18,12",58,Fribourg,,
Pont-en-Ogoz,2122,2 013,"10,02",201,Fribourg,,
Pont-la-Ville,2147,613.00,"4,32",142,Fribourg,,
Ponthaux,2217,806.00,"5,91",136,Fribourg,,
Prévondavaux,2038,97.00,"1,8",54,Fribourg,,
Prez,2237,2 472,"16,02",154,Fribourg,,
Remaufens,2333,1 285,"5,91",217,Fribourg,,
Riaz,2148,2 890,"7,76",372,Fribourg,,
Ried bei Kerzers,2276,1 223,"7,59",161,Fribourg,,
Romont,2096,5 891,"10,89",541,Fribourg,,
Rue,2097,2 632,"20,03",131,Fribourg,,
Saint-Aubin,2041,1 970,"7,88",250,Fribourg,,
Saint-Martin,2335,1 011,"9,79",103,Fribourg,,
Saint-Ours,2304,1 441,"15,76",91,Fribourg,,
Saint-Sylvestre,2303,1 014,"7,07",143,Fribourg,,
Sâles,2152,1 452,"18,79",77,Fribourg,,
Schmitten,2305,4 300,"13,5",319,Fribourg,,
Semsales,2336,1 575,"29,36",54,Fribourg,,
Sévaz,2043,314.00,"2,5",126,Fribourg,,
Siviriez,2099,2 566,"20,28",127,Fribourg,,
Sorens,2153,1 096,"8,72",126,Fribourg,,
Surpierre,2044,1 230,"11,24",109,Fribourg,,
Tavel,2306,7 900,"41,35",191,Fribourg,,
Tinterin,2307,1 358,"3,61",376,Fribourg,,
Torny,2115,1 082,"10,18",106,Fribourg,,
Treyvaux,2226,1 596,"11,44",140,Fribourg,,
Ueberstorf,2308,2 400,"16,12",149,Fribourg,,
Ulmiz,2278,425.00,"2,83",150,Fribourg,,
Ursy,2102,4 025,"17,13",235,Fribourg,,
Val-de-Charmey,2163,2 672,"112,15",24,Fribourg,,
Vallon,2045,520.00,"3,51",148,Fribourg,,
Vaulruz,2155,1 128,"10,16",111,Fribourg,,
Villars-sur-Glâne,2228,12 444,"5,49",2267,Fribourg,,
Villarsel-sur-Marly,2230,74.00,"1,41",52,Fribourg,,
Villaz,2117,2 347,"15,45",152,Fribourg,,
Villorsonnens,2114,1 526,"15,47",99,Fribourg,,
Vuadens,2160,2 556,"10,44",245,Fribourg,,
Vuisternens-devant-Romont,2113,2 352,"24,06",98,Fribourg,,
Wünnewil-Flamatt,2309,5 722,"13,23",433,Fribourg,,
Agarn,6101,729.00,"7,66",95,Valais,,
Anniviers,6252,2 773,"242,95",11,Valais,,
Arbaz,6261,1 462,"19,29",76,Valais,,
Arbignon,6102,262.00,"15,48",17,Valais,,
Ardon,6021,3 709,"20,35",182,Valais,,
Ausserberg,6191,637.00,"14,9",43,Valais,,
Ayent,6082,4 350,"55,13",79,Valais,,
Baltschieder,6281,1 367,"31,44",43,Valais,,
Bellwald,6052,349.00,"13,69",25,Valais,,
Bettmeralp,6205,474.00,"29,36",16,Valais,,
Binn,6054,123.00,"65,03",2,Valais,,
Bister,6172,39.00,"5,84",7,Valais,,
Bitsch,6173,1 116,"4,02",278,Valais,,
Blatten,6192,303.00,"90,65",3,Valais,,
Bourg-Saint-Pierre,6032,215.00,"90,09",2,Valais,,
Bovernier,6131,924.00,"12,86",72,Valais,,
Brigue-Glis,6002,13 976,"38,08",367,Valais,,
Bürchen,6193,766.00,"13,45",57,Valais,,
Chalais,6232,3 905,"24,46",160,Valais,,
Chamoson,6022,4 291,"32,47",132,Valais,,
Champéry,6151,1 399,"38,88",36,Valais,,
Chippis,6235,1 599,"1,98",808,Valais,,
Collombey-Muraz,6152,9 903,"29,81",332,Valais,,
Collonges,6211,865.00,"12,21",71,Valais,,
Conthey,6023,9 073,"84,98",107,Valais,,
Crans-Montana,6253,10 488,"59,66",176,Valais,,
Dorénaz,6212,1 103,"12,57",88,Valais,,
Eggerberg,6004,329.00,"5,94",55,Valais,,
Eischoll,6194,453.00,"13,77",33,Valais,,
Eisten,6282,191.00,"38,05",5,Valais,,
Embd,6283,294.00,"13,39",22,Valais,,
Ergisch,6104,184.00,"30,13",6,Valais,,
Ernen,6056,550.00,"35,38",16,Valais,,
Evionnaz,6213,1 482,"47,99",31,Valais,,
Evolène,6083,1 670,"209,94",8,Valais,,
Ferden,6195,253.00,"27,92",9,Valais,,
Fiesch,6057,912.00,"11,26",81,Valais,,
Fieschertal,6058,359.00,"172,96",2,Valais,,
Finhaut,6214,400.00,"22,86",17,Valais,,
Fully,6133,9 160,"37,79",242,Valais,,
Gampel-Bratsch,6118,2 167,"23,09",94,Valais,,
Goms,6077,1 157,"128,94",9,Valais,,
Grächen,6285,1 295,"14,32",90,Valais,,
Grengiols,6177,424.00,"58,46",7,Valais,,
Grimisuat,6263,3 906,"4,44",880,Valais,,
Grône,6238,2 557,"21,14",121,Valais,,
Guttet-Feschel,6117,440.00,"10,51",42,Valais,,
Hérémence,6084,1 491,"107,53",14,Valais,,
Icogne,6239,634.00,"24,81",26,Valais,,
Inden,6109,118.00,"9,86",12,Valais,,
Isérables,6134,809.00,"15,23",53,Valais,,
Kippel,6197,331.00,"11,66",28,Valais,,
Lalden,6286,733.00,"1,28",573,Valais,,
Lax,6061,336.00,"5,02",67,Valais,,
Lens,6240,4 536,"13,91",326,Valais,,
Leytron,6135,3 357,"26,85",125,Valais,,
Liddes,6033,755.00,"60,16",13,Valais,,
Loèche,6110,4 307,"55,36",78,Valais,,
Loèche-les-Bains,6111,1 396,"67,23",21,Valais,,
Martigny,6136,21 759,"24,97",871,Valais,,
Martigny-Combe,6137,2 332,"37,63",62,Valais,,
Massongex,6215,2 044,"6,63",308,Valais,,
Mont-Noble,6090,1 174,"43,03",27,Valais,,
Monthey,6153,18 886,"28,63",660,Valais,,
Mörel-Filet,6203,745.00,"8,44",88,Valais,,
Naters,6007,10 605,"147,04",72,Valais,,
Nendaz,6024,7 196,"86,01",84,Valais,,
Niedergesteln,6198,750.00,"17,43",43,Valais,,
Noble-Contrée,6254,4 677,"6,51",718,Valais,,
Oberems,6112,139.00,"50,27",3,Valais,,
Obergoms,6076,640.00,"155,83",4,Valais,,
Orsières,6034,3 292,"165,02",20,Valais,,
Port-Valais,6154,4 485,"14,35",313,Valais,,
Randa,6287,461.00,"54,51",8,Valais,,
Rarogne,6199,2 002,"30,31",66,Valais,,
Riddes,6139,3 701,"23,88",155,Valais,,
Ried-Brig,6008,2 254,"47,5",47,Valais,,
Riederalp,6181,437.00,"21,04",21,Valais,,
Saas-Almagell,6288,379.00,"110,22",3,Valais,,
Saas-Balen,6289,362.00,"30,18",12,Valais,,
Saas-Fee,6290,1 592,"40,6",39,Valais,,
Saas-Grund,6291,1 067,"24,55",43,Valais,,
Saillon,6140,3 094,"13,74",225,Valais,,
Saint-Gingolph,6155,1 049,"14,38",73,Valais,,
Saint-Léonard,6246,2 613,"3,9",670,Valais,,
Saint-Martin,6087,841.00,"37,02",23,Valais,,
Saint-Maurice,6217,4 574,"14,94",306,Valais,,
Saint-Nicolas,6292,2 268,"89,23",25,Valais,,
Salquenen,6113,1 693,"11,34",149,Valais,,
Salvan,6218,1 483,"53,54",28,Valais,,
Savièse,6265,8 182,"70,92",115,Valais,,
Saxon,6141,7 114,"23,23",306,Valais,,
Sembrancher,6035,1 093,"17,63",62,Valais,,
Sierre,6248,17 663,"19,18",921,Valais,,
Simplon,6009,281.00,"90,82",3,Valais,,
Sion,6266,36 624,"34,85",1051,Valais,,
Stalden,6293,1 112,"10,43",107,Valais,,
Staldenried,6294,541.00,"14,32",38,Valais,,
Steg-Hohtenn,6204,1 691,"14,16",119,Valais,,
Täsch,6295,1 366,"58,72",23,Valais,,
Termen,6010,1 187,"18,73",63,Valais,,
Törbel,6296,494.00,"17,59",28,Valais,,
Trient,6142,160.00,"39,56",4,Valais,,
Troistorrents,6156,5 008,"36,98",135,Valais,,
Turtmann-Unterems,6119,1 191,"42,27",28,Valais,,
Unterbäch,6201,483.00,"21,99",22,Valais,,
Val de Bagnes,6037,10 814,"301,89",36,Valais,,
Val-d'Illiez,6157,2 129,"39,26",54,Valais,,
Varonne,6116,691.00,"12,81",54,Valais,,
Vernayaz,6219,1 864,"5,6",333,Valais,,
Vérossaz,6220,893.00,"14,28",63,Valais,,
Vétroz,6025,6 604,"10,45",632,Valais,,
Vex,6089,1 929,"12,99",148,Valais,,
Veysonnaz,6267,621.00,"1,1",565,Valais,,
Viège,6297,8 483,"13,17",644,Valais,,
Vionnaz,6158,2 934,"20,93",140,Valais,,
Visperterminen,6298,1 324,"51,62",26,Valais,,
Vouvry,6159,4 621,"33,5",138,Valais,,
Wiler,6202,539.00,"14,66",37,Valais,,
Zeneggen,6299,324.00,"7,49",43,Valais,,
Zermatt,6300,6 023,"242,69",25,Valais,,
Zwischbergen,6011,81.00,"86,15",1,Valais,,
